ID,WBS,任务名称,任务类型,工期,开始时间,完成时间,前置任务,资源名称,责任部门,供应商,审核人/审批组,风险等级,里程碑,交付物,备注,所属视图分类,阶段门编号,是否关键路径控制,版本控制对象,变更等级,联调启动条件,是否H5重点展示,阶段门名称,放行/阻断规则,合同/付款控制口径,H5诊断规则,执行说明
1,1,项目启动与总体蓝图,摘要,,2026-06-01,2026-10-22,,信息化项目组,信息化项目组,,,中,否,,总体牵头：信息化项目组；重大事项提交项目决策组,,,,,,,,,,,,
435,1.1,项目启动与治理机制,摘要,,2026-06-01,2026-06-15,,信息化项目组,信息化项目组,,,中,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
2,1.1.1,项目启动会准备,启动,5工作日,2026-06-01,2026-06-05,,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,启动会议程、参会清单,,,,,,,,,,,,,
3,1.1.2,项目启动会召开,里程碑,0工作日,2026-06-08,2026-06-08,2,信息化项目组,信息化项目组,,项目决策组,中,是,项目启动会纪要,,Gate,G0,是,,,,是,,,,,
4,1.1.3,项目治理机制建立,管理,5工作日,2026-06-09,2026-06-15,3,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,周会、月报、风险台账、变更流程,,,,,,,,,,,,,
436,1.2,现状调研,摘要,,2026-06-16,2026-08-19,,信息化项目组,信息化项目组,,,中,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
5,1.2.1,现状调研计划编制,调研,5工作日,2026-06-16,2026-06-22,4,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,调研计划,,,,,,,,,,,,,
6,1.2.2,业务现状调研-数据与主数据,调研,8工作日,2026-06-23,2026-07-02,5,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,调研记录,,,,,,,,,,,,,
7,1.2.3,业务现状调研-PLM,调研,8工作日,2026-07-03,2026-07-14,6,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,调研记录,,,,,,,,,,,,,
8,1.2.4,业务现状调研-MES/低代码平台,调研,10工作日,2026-07-15,2026-07-28,7,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,调研记录,,,,,,,,,,,,,
9,1.2.5,业务现状调研-ERP/OA,调研,8工作日,2026-07-29,2026-08-07,8,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,调研记录,,,,,,,,,,,,,
10,1.2.6,基础设施与网络现状调研,调研,8工作日,2026-08-10,2026-08-19,9,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,调研记录,,,,,,,,,,,,,
437,1.3,总体蓝图与实施计划评审,摘要,,2026-08-20,2026-10-22,,信息化项目组,信息化项目组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
11,1.3.1,总体蓝图初稿编制,设计,15工作日,2026-08-20,2026-09-09,10,信息化项目组,信息化项目组,,信息化项目管理工作室,高,否,总体蓝图初稿,,,,,,,,是,,,,,
12,1.3.2,业务流程梳理与主映射关系整理,设计,15工作日,2026-09-10,2026-09-30,11,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,部门能力-业务流程-业务行为-应用系统映射,,,,,,,,,,,,,
13,1.3.3,总体系统架构设计,设计,10工作日,2026-10-01,2026-10-14,12,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,系统架构方案,,,,,,,,,,,,,
14,1.3.4,总体实施计划评审准备,评审,5工作日,2026-10-15,2026-10-21,13,信息化项目组,信息化项目组,,项目决策组,中,否,评审材料,,,,,,,,,,,,,
