"ID","WBS","任务名称","任务类型","工期","开始时间","完成时间","前置任务","资源名称","主责资源","协作资源","供应商资源","责任部门","供应商","审核人/审批组","风险等级","里程碑","交付物","备注","原资源名称","资源池导入建议","评审意见"
"1","1","项目启动与总体蓝图","摘要","","2026-06-01","2026-08-14","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","总体牵头：信息化项目组；重大事项提交项目决策组","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"2","2","招采合同与供应商管理","摘要","","2026-06-15","2026-11-20","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","供应商未定项目采用保守招采周期；合同后设置2周进场准备","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"3","3","数据标准与主数据治理","摘要","","2026-06-08","2027-01-20","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","MDM先行，支撑PLM/MES/ERP集成","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"4","4","MDM自研平台一期","摘要","","2026-07-01","2027-02-01","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","自研，AI辅助编程；10月底一期上线节点不变","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"5","5","基础设施与AI底座","摘要","","2026-07-01","2027-01-29","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","基础设施先行，满足MES测试环境前置条件；AI先支撑MDM自研和知识库","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"6","6","PLM基础深化","摘要","","2026-08-03","2027-05-01","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","供应商确定前只做内部调研和方案，深化以实际开发集成进度为准","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"7","7","ERP/OA补强","摘要","","2026-08-03","2027-04-14","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","现有用友U8；包含MRP、采购计划、生产计划补强","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"8","8","MES建设与QMS低代码平台","摘要","","2026-09-01","2027-05-14","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","MES一期开到2027年4月底，QMS纳入MES建设下的子项目","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"9","9","全系统集成联调与现场推广","摘要","","2027-05-03","2028-02-08","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","跨系统联调、现场推广、数据治理常态化","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"10","10","AI应用深化、驾驶舱与总体验收","摘要","","2027-05-03","2028-03-31","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","2027年深化数字员工、知识库、驾驶舱，2028年1月底总体验收","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"11","1.1","项目启动会准备","启动","5工作日","2026-06-01","2026-06-05","","信息化项目组","信息化项目组","信息化项目管理工作室","","信息化项目组","","信息化项目管理工作室","中","否","启动会议程、参会清单","","信息化项目管理工作室","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"12","1.2","项目启动会召开","里程碑","0工作日","2026-06-08","2026-06-08","11","信息化项目组","信息化项目组","项目决策组;信息化项目管理工作室","","信息化项目组","","项目决策组","中","是","项目启动会纪要","","项目决策组;信息化项目管理工作室","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
