"ID","WBS","任务名称","任务类型","工期","开始时间","完成时间","前置任务","资源名称","主责资源","协作资源","供应商资源","责任部门","供应商","审核人/审批组","风险等级","里程碑","交付物","备注","原资源名称","资源池导入建议","评审意见"
"1","1","项目启动与总体蓝图","摘要","","2026-06-01","2026-08-14","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","总体牵头：信息化项目组；重大事项提交项目决策组 [M]","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"2","2","招采合同与供应商管理","摘要","","2026-06-15","2026-11-20","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","供应商未定项目采用保守招采周期；合同后设置2周进场准备 [M]","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"3","3","数据标准与主数据治理","摘要","","2026-06-08","2027-01-20","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","MDM先行，支撑PLM/MES/ERP集成 [M]","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"4","4","MDM自研平台一期","摘要","","2026-07-01","2027-02-01","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","自研，AI辅助编程；10月底一期上线节点不变 [M]","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"5","5","基础设施与AI底座","摘要","","2026-07-01","2027-01-29","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","基础设施先行，满足MES测试环境前置条件；AI先支撑MDM自研和知识库 [M]","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"6","6","PLM基础深化","摘要","","2026-08-03","2027-05-01","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","供应商确定前只做内部调研和方案，深化以实际开发集成进度为准 [M]","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"7","7","ERP/OA补强","摘要","","2026-08-03","2027-04-14","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","现有用友U8；包含MRP、采购计划、生产计划补强 [M]","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"8","8","MES建设与QMS低代码平台","摘要","","2026-09-01","2027-05-14","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","MES一期开到2027年4月底，QMS纳入MES建设下的子项目 [M]","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"9","9","全系统集成联调与现场推广","摘要","","2027-05-03","2028-02-08","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","跨系统联调、现场推广、数据治理常态化 [M]","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"10","10","AI应用深化、驾驶舱与总体验收","摘要","","2027-05-03","2028-03-31","","信息化项目组","信息化项目组","","","信息化项目组","","","中","否","","2027年深化数字员工、知识库、驾驶舱，2028年1月底总体验收 [M]","信息化项目组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"11","1.1","项目启动会准备","启动","5工作日","2026-06-01","2026-06-05","","信息化项目组","信息化项目组","信息化项目管理工作室","","信息化项目组","","信息化项目管理工作室","中","否","启动会议程、参会清单","[M]","信息化项目管理工作室","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"12","1.2","项目启动会召开","里程碑","0工作日","2026-06-08","2026-06-08","11","信息化项目组","信息化项目组","项目决策组;信息化项目管理工作室","","信息化项目组","","项目决策组","中","是","项目启动会纪要","[M]","项目决策组;信息化项目管理工作室","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"13","1.3","项目治理机制建立","管理","5工作日","2026-06-09","2026-06-15","12","信息化项目组","信息化项目组","信息化项目管理工作室","","信息化项目组","","信息化项目管理工作室","中","否","周会、月报、风险台账、变更流程","[M]","信息化项目管理工作室","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"14","1.4","现状调研计划编制","调研","5工作日","2026-06-16","2026-06-22","13","信息化项目组","信息化项目组","信息化项目管理工作室","","信息化项目组","","信息化项目管理工作室","中","否","调研计划","[M]","信息化项目管理工作室","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"15","1.5","业务现状调研-数据与主数据","调研","8工作日","2026-06-23","2026-07-02","14","信息化项目组","信息化项目组","MDM工作组;数据质量工作组","","信息化项目组","","信息化项目管理工作室","中","否","调研记录","[M]","MDM工作组;数据质量工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"16","1.6","业务现状调研-PLM","调研","8工作日","2026-07-03","2026-07-14","15","信息化项目组","信息化项目组","PLM工作组","","信息化项目组","","信息化项目管理工作室","中","否","调研记录","[E]","PLM工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"17","1.7","业务现状调研-MES/QMS","调研","10工作日","2026-07-15","2026-07-28","16","信息化项目组","信息化项目组","MES工作组","","信息化项目组","","信息化项目管理工作室","中","否","调研记录","[M]","MES工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"18","1.8","业务现状调研-ERP/OA","调研","8工作日","2026-07-29","2026-08-07","17","信息化项目组","信息化项目组","ERP·OA工作组","","信息化项目组","","信息化项目管理工作室","中","否","调研记录","[E]","ERP·OA工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"19","1.9","基础设施与网络现状调研","调研","8工作日","2026-08-10","2026-08-19","18","信息化项目组","信息化项目组","网络工程组;技术架构组","","信息化项目组","","信息化项目管理工作室","中","否","调研记录","[E]","网络工程组;技术架构组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"20","1.10","总体蓝图初稿编制","设计","15工作日","2026-08-20","2026-09-09","19","信息化项目组","信息化项目组","信息化项目管理工作室;技术架构组","","信息化项目组","","信息化项目管理工作室","高","否","总体蓝图初稿","[M]","信息化项目管理工作室;技术架构组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"21","1.11","业务流程梳理与主映射关系整理","设计","15工作日","2026-09-10","2026-09-30","20","信息化项目组","信息化项目组","PLM工作组;MES工作组;ERP·OA工作组","","信息化项目组","","信息化项目管理工作室","中","否","部门能力-业务流程-业务行为-应用系统映射","[M]","PLM工作组;MES工作组;ERP·OA工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"22","1.12","总体系统架构设计","设计","10工作日","2026-10-01","2026-10-14","21","信息化项目组","信息化项目组","技术架构组","","信息化项目组","","信息化项目管理工作室","中","否","系统架构方案","[M]","技术架构组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"23","1.13","总体实施计划评审准备","评审","5工作日","2026-10-15","2026-10-21","22","信息化项目组","信息化项目组","信息化项目管理工作室","","信息化项目组","","项目决策组","中","否","评审材料","[E]","信息化项目管理工作室","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"24","1.14","总体蓝图评审通过","里程碑","0工作日","2026-10-22","2026-10-22","23","信息化项目组","信息化项目组","项目决策组","","信息化项目组","","项目决策组","高","是","总体蓝图评审意见","[M]","项目决策组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"25","2.1.1","基础设施-方案评审材料准备","方案评审","8工作日","2026-07-01","2026-07-10","12","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","否","基础设施方案评审材料准备","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
